2025-01-10 16:12:22 - イニシャライズ後
2025-01-10 16:12:22 - フォームサイズ: 幅=522, 高さ=662
2025-01-10 16:12:22 - 背景の位置: X=76, Y=76
2025-01-10 16:12:22 - アプリタイトル（freemake）の位置: X=12, Y=54
2025-01-10 16:12:22 - 数量ラベルの位置: X=12, Y=107
2025-01-10 16:12:22 - 数量テキストボックスの位置: X=121, Y=104
2025-01-10 16:12:22 - ＋ボタンの位置: X=246, Y=104
2025-01-10 16:12:22 - －ボタンの位置: X=364, Y=104
2025-01-10 16:12:22 - 時刻ラベルの位置: X=40, Y=183

2025-01-10 16:15:43 - イニシャライズ後
2025-01-10 16:15:43 - フォームサイズ: 幅=522, 高さ=662
2025-01-10 16:15:43 - 背景の位置: X=114, Y=114
2025-01-10 16:15:43 - アプリタイトル（freemake）の位置: X=12, Y=54
2025-01-10 16:15:43 - 数量ラベルの位置: X=12, Y=107
2025-01-10 16:15:43 - 数量テキストボックスの位置: X=121, Y=104
2025-01-10 16:15:43 - ＋ボタンの位置: X=246, Y=104
2025-01-10 16:15:43 - －ボタンの位置: X=364, Y=104
2025-01-10 16:15:43 - 時刻ラベルの位置: X=40, Y=183

2025-01-10 16:16:01 - イニシャライズ後
2025-01-10 16:16:01 - フォームサイズ: 幅=522, 高さ=662
2025-01-10 16:16:01 - 背景の位置: X=152, Y=152
2025-01-10 16:16:01 - アプリタイトル（freemake）の位置: X=12, Y=54
2025-01-10 16:16:01 - 数量ラベルの位置: X=12, Y=107
2025-01-10 16:16:01 - 数量テキストボックスの位置: X=121, Y=104
2025-01-10 16:16:01 - ＋ボタンの位置: X=246, Y=104
2025-01-10 16:16:01 - －ボタンの位置: X=364, Y=104
2025-01-10 16:16:01 - 時刻ラベルの位置: X=40, Y=183

2025-01-10 16:17:43 - イニシャライズ後
2025-01-10 16:17:43 - フォームサイズ: 幅=522, 高さ=662
2025-01-10 16:17:43 - 背景の位置: X=190, Y=190
2025-01-10 16:17:43 - アプリタイトル（freemake）の位置: X=12, Y=54
2025-01-10 16:17:43 - 数量ラベルの位置: X=12, Y=107
2025-01-10 16:17:43 - 数量テキストボックスの位置: X=121, Y=104
2025-01-10 16:17:43 - ＋ボタンの位置: X=246, Y=104
2025-01-10 16:17:43 - －ボタンの位置: X=364, Y=104
2025-01-10 16:17:43 - 時刻ラベルの位置: X=40, Y=183

